gene	build	file	total_hits	query_id	subject_id	pct_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue
ADA	hg16	ADA_vs_hg16.txt	3604088	NG_007385.1	chr20	99.997	39214	1	0	1	39214	43970805	43931592	0.0
ADA	hg17	ADA_vs_hg17.txt	3607954	NG_007385.1	chr20	99.997	39214	1	0	1	39214	42718790	42679577	0.0
ADA	hg18	ADA_vs_hg18.txt	3634105	NG_007385.1	chr20	99.997	39214	1	0	1	39214	42718790	42679577	0.0
AICDA	hg16	AICDA_vs_hg16.txt	1577352	NG_011588.1	chr12	100.000	17681	0	0	1	17681	8661709	8644029	0.0
AICDA	hg17	AICDA_vs_hg17.txt	1578876	NG_011588.1	chr12	100.000	17681	0	0	1	17681	8661709	8644029	0.0
AICDA	hg18	AICDA_vs_hg18.txt	1590194	NG_011588.1	chr12	100.000	17681	0	0	1	17681	8661709	8644029	0.0
AIRE	hg16	AIRE_vs_hg16.txt	534636	NG_009556.1	chr21	100.000	19348	0	0	1	19348	44556965	44576312	0.0
AIRE	hg17	AIRE_vs_hg17.txt	535389	NG_009556.1	chr21	100.000	19348	0	0	1	19348	44525191	44544538	0.0
AIRE	hg18	AIRE_vs_hg18.txt	539448	NG_009556.1	chr21	100.000	19348	0	0	1	19348	44525191	44544538	0.0
AK2	hg16	AK2_vs_hg16.txt	3573265	NG_016269.1	chr1	100.000	35907	0	0	1	35907	33009965	32974059	0.0
AK2	hg17	AK2_vs_hg17.txt	3576944	NG_016269.1	chr1	100.000	35907	0	0	1	35907	33176585	33140679	0.0
AK2	hg18	AK2_vs_hg18.txt	3603472	NG_016269.1	chr1	100.000	35907	0	0	1	35907	33280079	33244173	0.0
AP3B1	hg16	AP3B1_vs_hg16.txt	14585518	NG_007268.1	chr5	100.000	299379	0	0	1	299379	77679601	77380223	0.0
AP3B1	hg17	AP3B1_vs_hg17.txt	14599785	NG_007268.1	chr5	100.000	299379	0	0	1	299379	77631284	77331906	0.0
AP3B1	hg18	AP3B1_vs_hg18.txt	14705783	NG_007268.1	chr5	100.000	299379	0	0	1	299379	77631284	77331906	0.0
BLM	hg16	BLM_vs_hg16.txt	14405479	NG_007272.1	chr15	100.000	104997	0	0	1	104997	88985370	89090366	0.0
BLM	hg17	BLM_vs_hg17.txt	14420129	NG_007272.1	chr15	100.000	104997	0	0	1	104997	89056606	89161602	0.0
BLM	hg18	BLM_vs_hg18.txt	14527412	NG_007272.1	chr15	100.000	104997	0	0	1	104997	89056606	89161602	0.0
BLNK	hg16	BLNK_vs_hg16.txt	4332723	NG_007575.1	chr10	100.000	99872	0	0	1	99872	97705913	97606042	0.0
BLNK	hg17	BLNK_vs_hg17.txt	4337277	NG_007575.1	chr10	100.000	99872	0	0	1	99872	98031316	97931445	0.0
BLNK	hg18	BLNK_vs_hg18.txt	4368413	NG_007575.1	chr10	100.000	99872	0	0	1	99872	98031316	97931445	0.0
BTK	hg16	BTK_vs_hg16.txt	5229656	NG_009616.1	chrX	100.000	43778	0	0	1	43778	99418069	99374292	0.0
BTK	hg17	BTK_vs_hg17.txt	5235516	NG_009616.1	chrX	100.000	43778	0	0	1	43778	100452357	100408580	0.0
BTK	hg18	BTK_vs_hg18.txt	5274169	NG_009616.1	chrX	100.000	43778	0	0	1	43778	100532868	100489091	0.0
C1QA	hg16	C1QA_vs_hg16.txt	949965	NG_007282.1	chr1	100.000	10058	0	0	1	10058	22427593	22437650	0.0
C1QA	hg17	C1QA_vs_hg17.txt	950933	NG_007282.1	chr1	100.000	10058	0	0	1	10058	22703424	22713481	0.0
C1QA	hg18	C1QA_vs_hg18.txt	957936	NG_007282.1	chr1	100.000	10058	0	0	1	10058	22830705	22840762	0.0
